fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241113.063345	1	39	1	989753	11898	98259927.0364818	98259927.0364818
20241113.063349	1	39	1	609751	12213	97932788.105947	97932788.105947
20241113.063352	1	39	1	417511	10476	97987140.4297851	97987140.4297851
20241113.063355	1	39	1	243553	12286	99032242.8785607	99032242.8785607
20241113.063358	1	39	1	843131	11471	98334884.057971	98334884.057971
20241113.063400	1	39	1	577463	13016	96982932.5337331	96982932.5337331
20241113.063403	1	39	1	761977	14434	98788386.8065967	98788386.8065967
20241113.063406	1	39	1	649277	11059	97355415.7921039	97355415.7921039
20241113.063409	1	39	1	495413	10376	99286460.7696152	99286460.7696152
20241113.063412	1	39	1	244129	12830	99560394.8025987	99560394.8025987
20241113.063415	1	39	1	911089	11470	100467001.49925	100467001.49925
20241113.063417	1	39	1	257293	10565	97676184.4077961	97676184.4077961
20241113.063420	1	39	1	371587	9929	98357769.6151924	98357769.6151924
20241113.063423	1	39	1	457183	11412	97725555.2223888	97725555.2223888
20241113.063426	1	39	1	272227	11634	97556302.8485757	97556302.8485757
20241113.063428	1	39	1	980081	9054	98033254.3728136	98033254.3728136
20241113.063431	1	39	1	231919	12911	98573464.7676162	98573464.7676162
20241113.063434	1	39	1	254729	10636	98199134.4327836	98199134.4327836
20241113.063436	1	39	1	393013	12332	98308083.958021	98308083.958021
20241113.063440	1	39	1	974891	12771	98448017.4912544	98448017.4912544
20241113.063442	1	39	20	-1	11635	97847101.9490255	97847101.9490255
