fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241112.173040	1	50	1	989753	10559	96744971.0144928	96744971.0144928
20241112.173135	1	50	1	609751	11910	94719515.2423788	94719515.2423788
20241112.173218	1	50	1	417511	10985	95852406.2968516	95852406.2968516
20241112.173302	1	50	1	243553	10758	95039227.3863069	95039227.3863069
20241112.173345	1	50	1	843131	13711	96937822.5887056	96937822.5887056
20241112.173429	1	50	1	577463	12127	96007091.954023	96007091.954023
20241112.173512	1	50	1	761977	12270	97837716.141929	97837716.141929
20241112.173555	1	50	1	649277	12056	95076245.8770615	95076245.8770615
20241112.173639	1	50	1	495413	8693	95623382.8085957	95623382.8085957
20241112.173722	1	50	1	244129	12645	98508208.3958021	98508208.3958021
20241112.173806	1	50	1	911089	10025	94369707.6461769	94369707.6461769
20241112.173849	1	50	1	257293	11470	95972588.7056472	95972588.7056472
20241112.173933	1	50	1	371587	11528	93401171.4142929	93401171.4142929
20241112.174016	1	50	1	457183	10518	98109572.2138931	98109572.2138931
20241112.174100	1	50	1	272227	11717	97293223.888056	97293223.888056
20241112.174143	1	50	1	980081	10757	96090385.3073463	96090385.3073463
20241112.174227	1	50	1	231919	10938	96023285.3573213	96023285.3573213
20241112.174310	1	50	1	254729	10465	96322711.1444278	96322711.1444278
20241112.174354	1	50	1	393013	10808	96301361.3193403	96301361.3193403
20241112.174437	1	50	1	974891	11968	95937543.2283858	95937543.2283858
20241112.174520	1	50	20	-1	11470	95623848.075962	95623848.075962
