fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241114.031115	1	39	1	989753	11134	94237652.173913	94237652.173913
20241114.031119	1	39	1	609751	10821	93806783.1084458	93806783.1084458
20241114.031122	1	39	1	417511	10930	93187631.1844078	93187631.1844078
20241114.031124	1	39	1	243553	10681	94735428.7856072	94735428.7856072
20241114.031127	1	39	1	843131	10700	93609625.1874063	93609625.1874063
20241114.031129	1	39	1	577463	12737	92987646.6766617	92987646.6766617
20241114.031132	1	39	1	761977	11278	94594809.5952024	94594809.5952024
20241114.031135	1	39	1	649277	10592	94384375.812094	94384375.812094
20241114.031137	1	39	1	495413	11836	93574446.7766117	93574446.7766117
20241114.031140	1	39	1	244129	12829	93023706.6466767	93023706.6466767
20241114.031142	1	39	1	911089	13973	93873837.5812094	93873837.5812094
20241114.031145	1	39	1	257293	11370	93668990.5047476	93668990.5047476
20241114.031147	1	39	1	371587	11993	94210579.2103948	94210579.2103948
20241114.031150	1	39	1	457183	11630	95028200.8995502	95028200.8995502
20241114.031153	1	39	1	272227	10874	95121800.09995	95121800.09995
20241114.031155	1	39	1	980081	10246	94789004.4977511	94789004.4977511
20241114.031158	1	39	1	231919	13574	92954073.9630185	92954073.9630185
20241114.031200	1	39	1	254729	10482	92800472.7636182	92800472.7636182
20241114.031203	1	39	1	393013	11029	94648154.4227886	94648154.4227886
20241114.031206	1	39	1	974891	12195	93871661.6691654	93871661.6691654
20241114.031207	1	39	20	-1	11245	93559358.8205897	93559358.8205897
