fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241115.220711	1	48	1	989753	10318	102057278.36082	102057278.36082
20241115.220714	1	48	1	609751	12475	104065704.647676	104065704.647676
20241115.220717	1	48	1	417511	9960	101328515.742129	101328515.742129
20241115.220719	1	48	1	243553	10033	101519264.867566	101519264.867566
20241115.220721	1	48	1	843131	11680	103478680.65967	103478680.65967
20241115.220724	1	48	1	577463	12841	103043214.892554	103043214.892554
20241115.220726	1	48	1	761977	9706	102171083.458271	102171083.458271
20241115.220729	1	48	1	649277	12508	103195364.317841	103195364.317841
20241115.220731	1	48	1	495413	10229	101528654.172914	101528654.172914
20241115.220733	1	48	1	244129	11671	103613464.767616	103613464.767616
20241115.220736	1	48	1	911089	10139	104287549.725137	104287549.725137
20241115.220738	1	48	1	257293	9766	103838559.72014	103838559.72014
20241115.220741	1	48	1	371587	10266	102798949.525237	102798949.525237
20241115.220743	1	48	1	457183	12820	103124587.706147	103124587.706147
20241115.220746	1	48	1	272227	10120	103360299.850075	103360299.850075
20241115.220748	1	48	1	980081	10410	99777496.2518741	99777496.2518741
20241115.220750	1	48	1	231919	10808	101694544.727636	101694544.727636
20241115.220753	1	48	1	254729	10708	100428107.946027	100428107.946027
20241115.220755	1	48	1	393013	10166	104568994.502749	104568994.502749
20241115.220758	1	48	1	974891	10151	101923109.945027	101923109.945027
20241115.220759	1	48	20	-1	10367	102110854.072964	102110854.072964
