fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241118.134110	1	25	1	989753	12276	98043392.3038481	98043392.3038481
20241118.134114	1	25	1	609751	11022	97330917.5412294	97330917.5412294
20241118.134117	1	25	1	417511	11897	99140230.3848076	99140230.3848076
20241118.134119	1	25	1	243553	10802	98488908.5457271	98488908.5457271
20241118.134122	1	25	1	843131	13119	97239343.828086	97239343.828086
20241118.134125	1	25	1	577463	10259	97327989.5052474	97327989.5052474
20241118.134128	1	25	1	761977	11648	99132985.5072464	99132985.5072464
20241118.134130	1	25	1	649277	12557	97761709.6451774	97761709.6451774
20241118.134133	1	25	1	495413	12715	97837698.6506747	97837698.6506747
20241118.134136	1	25	1	244129	14274	99313404.2978511	99313404.2978511
20241118.134138	1	25	1	911089	13791	98877672.6636682	98877672.6636682
20241118.134141	1	25	1	257293	11932	102389983.008496	102389983.008496
20241118.134144	1	25	1	371587	12073	100085961.51924	100085961.51924
20241118.134146	1	25	1	457183	10937	97411674.6626687	97411674.6626687
20241118.134149	1	25	1	272227	12145	98701941.5292354	98701941.5292354
20241118.134152	1	25	1	980081	13988	99080581.7091454	99080581.7091454
20241118.134155	1	25	1	231919	13068	98925679.1604198	98925679.1604198
20241118.134157	1	25	1	254729	13034	99175433.2833583	99175433.2833583
20241118.134200	1	25	1	393013	11762	99137344.3278361	99137344.3278361
20241118.134203	1	25	1	974891	12908	99323080.4597701	99323080.4597701
20241118.134205	1	25	20	-1	11919	98269900.5497251	98269900.5497251
