fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241114.205929	1	30	1	989753	12609	98637489.7551224	98637489.7551224
20241114.205933	1	30	1	609751	13019	101530928.035982	101530928.035982
20241114.205935	1	30	1	417511	9087	99453568.7156422	99453568.7156422
20241114.205938	1	30	1	243553	10044	97688781.6091954	97688781.6091954
20241114.205940	1	30	1	843131	12872	98429053.4732634	98429053.4732634
20241114.205943	1	30	1	577463	10597	94348116.4417791	94348116.4417791
20241114.205945	1	30	1	761977	11736	101286340.829585	101286340.829585
20241114.205947	1	30	1	649277	10178	94917138.4307846	94917138.4307846
20241114.205950	1	30	1	495413	11469	99800378.3108446	99800378.3108446
20241114.205952	1	30	1	244129	11673	97764802.0989505	97764802.0989505
20241114.205955	1	30	1	911089	11734	98355653.1734133	98355653.1734133
20241114.205957	1	30	1	257293	9861	96995928.5357321	96995928.5357321
20241114.210000	1	30	1	371587	11836	93991158.4207896	93991158.4207896
20241114.210002	1	30	1	457183	11308	93746028.9855072	93746028.9855072
20241114.210005	1	30	1	272227	12142	98957184.4077961	98957184.4077961
20241114.210007	1	30	1	980081	10961	96183704.6476762	96183704.6476762
20241114.210010	1	30	1	231919	9407	99701104.9475262	99701104.9475262
20241114.210012	1	30	1	254729	13369	93532982.0089955	93532982.0089955
20241114.210015	1	30	1	393013	11335	97392931.0344828	97392931.0344828
20241114.210017	1	30	1	974891	13222	97049518.2408796	97049518.2408796
20241114.210019	1	30	20	-1	11372	96837580.2098951	96837580.2098951
