fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241116.014939	1	50	1	989753	12994	98363979.0104948	98363979.0104948
20241116.014943	1	50	1	609751	13491	99558922.0389805	99558922.0389805
20241116.014946	1	50	1	417511	14511	97346138.4307846	97346138.4307846
20241116.014949	1	50	1	243553	13907	101367461.769115	101367461.769115
20241116.014951	1	50	1	843131	11925	99453715.6421789	99453715.6421789
20241116.014954	1	50	1	577463	12696	100559964.017991	100559964.017991
20241116.014957	1	50	1	761977	14767	100150140.429785	100150140.429785
20241116.015000	1	50	1	649277	14366	100396560.71964	100396560.71964
20241116.015002	1	50	1	495413	13709	102297149.925037	102297149.925037
20241116.015005	1	50	1	244129	13680	99983788.105947	99983788.105947
20241116.015008	1	50	1	911089	13070	100251369.315342	100251369.315342
20241116.015010	1	50	1	257293	13138	99736888.5557221	99736888.5557221
20241116.015013	1	50	1	371587	11852	100077499.250375	100077499.250375
20241116.015016	1	50	1	457183	12565	100308828.085957	100308828.085957
20241116.015018	1	50	1	272227	13133	98267500.7496252	98267500.7496252
20241116.015021	1	50	1	980081	12921	99691330.8345827	99691330.8345827
20241116.015024	1	50	1	231919	15153	98575556.7216392	98575556.7216392
20241116.015026	1	50	1	254729	12178	99566033.9830085	99566033.9830085
20241116.015029	1	50	1	393013	13748	101771996.001999	101771996.001999
20241116.015032	1	50	1	974891	11978	100001776.111944	100001776.111944
20241116.015034	1	50	20	-1	13121	99559712.6436782	99559712.6436782
